traffic    blockprob  meanlinkut  avg_phoplth  syd. deviation,,,,,,llr
10,0,   0.173651     2.081731    0.094810,,,,0
20,0,   0.371726     2.254011    0.163908,,,,0
30,0.025848,   0.517372     2.331675    0.175297,,,,0.053312
40,0.100484,   0.564434     2.235532    0.202003,,,,0.16586
50,0.120445,   0.608046     2.230150    0.188970,,,,0.268219
60,0.176327,   0.653355     2.274529    0.177157,,,,0.364082
70,0.20807,   0.649477     2.264735    0.185329,,,,0.378956
80,0.22649,   0.655253     2.196918    0.173795,,,,0.425166
90,0.280332,   0.700122     2.225558    0.170269,,,,0.46205
100,0.32515,   0.695406     2.141797    0.173605,,,,0.538076
,,,,,,
14,21, ,,,,
